metric,m,n,d,noise,family,effect,trials,rejections,rate,wilson_lower,wilson_upper
energy_statistic,8,4,384,0.15,gaussian_null,1.0,100,8,0.08,0.041093461484380624,0.14998107700948735
mmd_squared,8,4,384,0.15,ring_null,1.0,100,4,0.04,0.01566330399154762,0.0983707143588792
energy_statistic,8,4,384,0.15,ring_null,1.0,100,4,0.04,0.01566330399154762,0.0983707143588792
mmd_squared,8,4,384,0.15,separated,0.5,100,63,0.63,0.5322052958094291,0.7181763946567546
energy_statistic,8,4,384,0.15,separated,0.5,100,63,0.63,0.5322052958094291,0.7181763946567546
mmd_squared,8,4,384,0.15,separated,1.0,100,100,1.0,0.9630065017930143,1.0
energy_statistic,8,4,384,0.15,separated,1.0,100,100,1.0,0.9630065017930143,1.0
mmd_squared,8,4,384,0.15,ring_disk,0.5,100,4,0.04,0.01566330399154762,0.0983707143588792
energy_statistic,8,4,384,0.15,ring_disk,0.5,100,4,0.04,0.01566330399154762,0.0983707143588792
mmd_squared,8,4,384,0.15,ring_disk,1.0,100,3,0.03,0.010254524024038925,0.0845193642905276
energy_statistic,8,4,384,0.15,ring_disk,1.0,100,3,0.03,0.010254524024038925,0.0845193642905276
mmd_squared,8,4,384,0.15,gaussian_mixture,0.5,100,4,0.04,0.01566330399154762,0.0983707143588792
energy_statistic,8,4,384,0.15,gaussian_mixture,0.5,100,4,0.04,0.01566330399154762,0.0983707143588792
mmd_squared,8,4,384,0.15,gaussian_mixture,1.0,100,10,0.1,0.0552291370606751,0.17436566150491345
energy_statistic,8,4,384,0.15,gaussian_mixture,1.0,100,10,0.1,0.0552291370606751,0.17436566150491345
mmd_squared,16,2,256,0.02,gaussian_null,1.0,100,3,0.03,0.010254524024038925,0.0845193642905276
energy_statistic,16,2,256,0.02,gaussian_null,1.0,100,4,0.04,0.01566330399154762,0.0983707143588792
mmd_squared,16,2,256,0.02,ring_null,1.0,100,2,0.02,0.00550196755016235,0.07001179072854388
energy_statistic,16,2,256,0.02,ring_null,1.0,100,2,0.02,0.00550196755016235,0.07001179072854388
mmd_squared,16,2,256,0.02,separated,0.5,100,97,0.97,0.9154806357094724,0.9897454759759611
energy_statistic,16,2,256,0.02,separated,0.5,100,97,0.97,0.9154806357094724,0.9897454759759611
mmd_squared,16,2,256,0.02,separated,1.0,100,100,1.0,0.9630065017930143,1.0
energy_statistic,16,2,256,0.02,separated,1.0,100,100,1.0,0.9630065017930143,1.0
mmd_squared,16,2,256,0.02,ring_disk,0.5,100,7,0.07,0.03431926106727268,0.137495147390735
energy_statistic,16,2,256,0.02,ring_disk,0.5,100,7,0.07,0.03431926106727268,0.137495147390735
mmd_squared,16,2,256,0.02,ring_disk,1.0,100,22,0.22,0.150012823846054,0.31070353514985793
energy_statistic,16,2,256,0.02,ring_disk,1.0,100,16,0.16,0.10095288488804782,0.24420269389270244
mmd_squared,16,2,256,0.02,gaussian_mixture,0.5,100,18,0.18,0.1170022549894635,0.2666735838630073
energy_statistic,16,2,256,0.02,gaussian_mixture,0.5,100,14,0.14,0.08526343659939134,0.22137188210963837
mmd_squared,16,2,256,0.02,gaussian_mixture,1.0,100,69,0.69,0.5937394428051057,0.7722030278762395
energy_statistic,16,2,256,0.02,gaussian_mixture,1.0,100,44,0.44,0.34672026630160796,0.5377189534832302
mmd_squared,16,2,256,0.15,gaussian_null,1.0,100,6,0.06,0.027786123963188192,0.1247681544589592
energy_statistic,16,2,256,0.15,gaussian_null,1.0,100,6,0.06,0.027786123963188192,0.1247681544589592
mmd_squared,16,2,256,0.15,ring_null,1.0,100,5,0.05,0.02154367915436796,0.11175046923191913
energy_statistic,16,2,256,0.15,ring_null,1.0,100,5,0.05,0.02154367915436796,0.11175046923191913
mmd_squared,16,2,256,0.15,separated,0.5,100,96,0.96,0.9016292856411208,0.9843366960084523
energy_statistic,16,2,256,0.15,separated,0.5,100,95,0.95,0.8882495307680808,0.9784563208456319
mmd_squared,16,2,256,0.15,separated,1.0,100,100,1.0,0.9630065017930143,1.0
energy_statistic,16,2,256,0.15,separated,1.0,100,100,1.0,0.9630065017930143,1.0
mmd_squared,16,2,256,0.15,ring_disk,0.5,100,8,0.08,0.041093461484380624,0.14998107700948735
energy_statistic,16,2,256,0.15,ring_disk,0.5,100,8,0.08,0.041093461484380624,0.14998107700948735
mmd_squared,16,2,256,0.15,ring_disk,1.0,100,6,0.06,0.027786123963188192,0.1247681544589592
energy_statistic,16,2,256,0.15,ring_disk,1.0,100,6,0.06,0.027786123963188192,0.1247681544589592
mmd_squared,16,2,256,0.15,gaussian_mixture,0.5,100,8,0.08,0.041093461484380624,0.14998107700948735
energy_statistic,16,2,256,0.15,gaussian_mixture,0.5,100,7,0.07,0.03431926106727268,0.137495147390735
mmd_squared,16,2,256,0.15,gaussian_mixture,1.0,100,2,0.02,0.00550196755016235,0.07001179072854388
energy_statistic,16,2,256,0.15,gaussian_mixture,1.0,100,2,0.02,0.00550196755016235,0.07001179072854388
mmd_squared,16,2,384,0.02,gaussian_null,1.0,100,4,0.04,0.01566330399154762,0.0983707143588792
energy_statistic,16,2,384,0.02,gaussian_null,1.0,100,5,0.05,0.02154367915436796,0.11175046923191913
mmd_squared,16,2,384,0.02,ring_null,1.0,100,6,0.06,0.027786123963188192,0.1247681544589592
energy_statistic,16,2,384,0.02,ring_null,1.0,100,5,0.05,0.02154367915436796,0.11175046923191913
mmd_squared,16,2,384,0.02,separated,0.5,100,95,0.95,0.8882495307680808,0.9784563208456319
energy_statistic,16,2,384,0.02,separated,0.5,100,94,0.94,0.8752318455410406,0.9722138760368118
mmd_squared,16,2,384,0.02,separated,1.0,100,100,1.0,0.9630065017930143,1.0
energy_statistic,16,2,384,0.02,separated,1.0,100,100,1.0,0.9630065017930143,1.0
mmd_squared,16,2,384,0.02,ring_disk,0.5,100,10,0.1,0.0552291370606751,0.17436566150491345
energy_statistic,16,2,384,0.02,ring_disk,0.5,100,10,0.1,0.0552291370606751,0.17436566150491345
mmd_squared,16,2,384,0.02,ring_disk,1.0,100,14,0.14,0.08526343659939134,0.22137188210963837
energy_statistic,16,2,384,0.02,ring_disk,1.0,100,12,0.12,0.06999406437019488,0.19812099426711421
mmd_squared,16,2,384,0.02,gaussian_mixture,0.5,100,11,0.11,0.06254196357064568,0.18631296503080313
energy_statistic,16,2,384,0.02,gaussian_mixture,0.5,100,9,0.09,0.04807254000256516,0.1622621285271631
mmd_squared,16,2,384,0.02,gaussian_mixture,1.0,100,51,0.51,0.4134801193402717,0.6057800106955886
energy_statistic,16,2,384,0.02,gaussian_mixture,1.0,100,31,0.31,0.22779697212376038,0.40626055719489407
mmd_squared,16,2,384,0.15,gaussian_null,1.0,100,3,0.03,0.010254524024038925,0.0845193642905276
energy_statistic,16,2,384,0.15,gaussian_null,1.0,100,3,0.03,0.010254524024038925,0.0845193642905276
mmd_squared,16,2,384,0.15,ring_null,1.0,100,6,0.06,0.027786123963188192,0.1247681544589592
energy_statistic,16,2,384,0.15,ring_null,1.0,100,6,0.06,0.027786123963188192,0.1247681544589592
mmd_squared,16,2,384,0.15,separated,0.5,100,96,0.96,0.9016292856411208,0.9843366960084523
energy_statistic,16,2,384,0.15,separated,0.5,100,96,0.96,0.9016292856411208,0.9843366960084523
mmd_squared,16,2,384,0.15,separated,1.0,100,100,1.0,0.9630065017930143,1.0
energy_statistic,16,2,384,0.15,separated,1.0,100,100,1.0,0.9630065017930143,1.0
mmd_squared,16,2,384,0.15,ring_disk,0.5,100,4,0.04,0.01566330399154762,0.0983707143588792
energy_statistic,16,2,384,0.15,ring_disk,0.5,100,4,0.04,0.01566330399154762,0.0983707143588792
mmd_squared,16,2,384,0.15,ring_disk,1.0,100,5,0.05,0.02154367915436796,0.11175046923191913
energy_statistic,16,2,384,0.15,ring_disk,1.0,100,5,0.05,0.02154367915436796,0.11175046923191913
mmd_squared,16,2,384,0.15,gaussian_mixture,0.5,100,7,0.07,0.03431926106727268,0.137495147390735
energy_statistic,16,2,384,0.15,gaussian_mixture,0.5,100,7,0.07,0.03431926106727268,0.137495147390735
mmd_squared,16,2,384,0.15,gaussian_mixture,1.0,100,4,0.04,0.01566330399154762,0.0983707143588792
energy_statistic,16,2,384,0.15,gaussian_mixture,1.0,100,4,0.04,0.01566330399154762,0.0983707143588792
mmd_squared,16,4,256,0.02,gaussian_null,1.0,100,6,0.06,0.027786123963188192,0.1247681544589592
energy_statistic,16,4,256,0.02,gaussian_null,1.0,100,5,0.05,0.02154367915436796,0.11175046923191913
mmd_squared,16,4,256,0.02,ring_null,1.0,100,5,0.05,0.02154367915436796,0.11175046923191913
energy_statistic,16,4,256,0.02,ring_null,1.0,100,5,0.05,0.02154367915436796,0.11175046923191913
mmd_squared,16,4,256,0.02,separated,0.5,100,99,0.99,0.9455138038212946,0.9982325679358593
energy_statistic,16,4,256,0.02,separated,0.5,100,98,0.98,0.929988209271456,0.9944980324498376
mmd_squared,16,4,256,0.02,separated,1.0,100,100,1.0,0.9630065017930143,1.0
energy_statistic,16,4,256,0.02,separated,1.0,100,100,1.0,0.9630065017930143,1.0
mmd_squared,16,4,256,0.02,ring_disk,0.5,100,7,0.07,0.03431926106727268,0.137495147390735
energy_statistic,16,4,256,0.02,ring_disk,0.5,100,7,0.07,0.03431926106727268,0.137495147390735
mmd_squared,16,4,256,0.02,ring_disk,1.0,100,13,0.13,0.07757167427240512,0.20980351440076428
energy_statistic,16,4,256,0.02,ring_disk,1.0,100,11,0.11,0.06254196357064568,0.18631296503080313
mmd_squared,16,4,256,0.02,gaussian_mixture,0.5,100,12,0.12,0.06999406437019488,0.19812099426711421
energy_statistic,16,4,256,0.02,gaussian_mixture,0.5,100,8,0.08,0.041093461484380624,0.14998107700948735
